,Name,Place_of_Birth,Year_of_Birth,Place_of_Death,Year_of_Death
0,Adolf Bauser,[],['(11 December 1880'],['1948 in Stuttgart)'],['– 16 November 1948 in']
1,Lothar Bisky,[],['(17 August 1941'],[],['– 13 August 2013)']
2,Lothar Bisky,['born in Zollbrück'],[],[],[]
3,Lothar Bisky,[],[],['died in Leipzig'],[]
4,Heinrich Brüning,[],['(26 November 1885'],[],['– 30 March 1970)']
5,Heinrich Brüning,['Born in Münster'],[],[],[]
6,Reinhard Bütikofer,[],['(born 26 January 1953'],[],[]
7,Reinhard Bütikofer,['born in Mannheim'],[],[],[]
8,Gerhard Frey (politician),[],['(18 February 1933'],[],['– 19 February 2013)']
9,Alexander Gauland,[],['(born 20 February 1941'],[],[]
10,Johann Baptist Gradl,['in Berlin –'],['(25 March 1904'],['1988 in Berlin)'],['– 2 July 1988 in']
11,Dirk Hillbrecht,['born Hannover'],[],[],[]
12,Adolf Hitler,"['born in Austria', 'in Austria –']",[],[],[]
13,Adolf Hitler,[],[],['died in June'],[]
14,Erwin Huber,[],['(born 26 July 1946'],[],[]
15,Erwin Huber,['born in Reisbach'],[],[],[]
16,Alfred Hugenberg,[],['(19 June 1865'],[],['– 12 March 1951)']
17,Alfred Hugenberg,['Born in Hanover'],[],[],[]
18,Alfred Hugenberg,[],[],['died in Kükenbruch'],[]
19,Richard Kunze,['in Sagan –'],[],[],['– May 1945)']
20,Oskar Lafontaine,['born in Saarlautern'],[],[],[]
21,Christof Leng,[],['(born 14 September 1975'],[],[]
22,Alfred Loritz,['in Munich –'],['(born 24 April 1902'],['1979 in Vienna)'],['– died 14 April 1979 in']
23,Bernd Lucke,[],['(born 19 August 1962'],[],[]
24,Angela Merkel,['born in Hamburg'],[],[],[]
25,Angela Merkel,"['born Angela', 'born in Danzig']",[],[],[]
26,Martin Mussgnug,['in Heidelberg –'],['(22 February 1936'],['1997 in Singen)'],['– 2 February 1997 in']
27,Sebastian Nerz,[],['(born 13 July 1983'],[],[]
28,Matthias Platzeck,[],['(born 29 December 1953'],[],[]
29,Matthias Platzeck,['born in Potsdam'],[],[],[]
30,Walter Scheel,['born in Solingen'],[],[],[]
31,John Schehr,['born Martha'],[],[],[]
32,Rolf Schlierer,[],['(born 21 February 1955'],['1955 in Stuttgart)'],[]
33,Jürgen Schmieder,['born Jahnishausen'],[],[],[]
34,Franz Schönhuber,[],['(10 January 1923'],[],['– 27 November 2005)']
35,Edmund Stoiber,[],['(born 28 September 1941'],[],[]
36,Edmund Stoiber,['born in Oberaudorf'],[],[],[]
37,Friedrich Thielen,['in Bremen –'],['(25 September 1916'],['1993 in Bremen)'],['– 11 June 1993 in']
38,Friedrich Thielen,['born in Bremen'],[],[],[]
39,Udo Voigt,['born in Viersen'],[],[],[]
40,Alice Weidel,['born in Gütersloh'],[],[],[]
